iter	Logloss
286	0.6798040334
287	0.6797448894
288	0.6797081376
289	0.6796838453
290	0.6796467531
291	0.6796213983
292	0.6795846148
293	0.6795442344
294	0.6794777753
295	0.6794580936
296	0.6794023641
297	0.6793677784
298	0.6793283004
299	0.6792912707
300	0.6792695052
301	0.6792384216
302	0.6792223159
303	0.6791783727
304	0.6791508942
305	0.679127752
306	0.6790810812
307	0.6790529526
308	0.6790139929
309	0.6789770633
310	0.6789422146
311	0.6789114478
312	0.6788726796
313	0.678830927
314	0.6788060449
315	0.6787614059
316	0.6787010947
317	0.6786542662
318	0.6786247889
319	0.678601164
320	0.6785332347
321	0.6785113051
322	0.678475819
323	0.678460741
324	0.6784313347
325	0.6784027267
326	0.67836589
327	0.6783486858
328	0.6783283383
329	0.6782890206
330	0.6782475915
331	0.678195685
332	0.6781540938
333	0.6780817059
334	0.6780431379
335	0.6780166765
336	0.6779874114
337	0.6779506537
338	0.6779212956
339	0.6778779941
340	0.677862694
341	0.6778195598
342	0.6778006896
343	0.6777695068
344	0.6777486437
345	0.6777376952
346	0.6777149284
347	0.6776976409
348	0.6776793759
349	0.6776498589
350	0.6776098977
351	0.6775886664
352	0.6775510536
353	0.6775260561
354	0.6774973478
355	0.6774692017
356	0.6774145507
357	0.6773993023
358	0.6773705362
359	0.6773536199
360	0.6773458437
361	0.6773116414
362	0.6772912714
363	0.6772476655
364	0.6772063719
365	0.6771739272
366	0.677079759
367	0.6770600922
368	0.6770389863
369	0.677001583
370	0.6769758519
371	0.6769528044
372	0.6769328121
373	0.6769079564
374	0.6768978737
375	0.6768850878
376	0.6768648399
377	0.6768496438
378	0.6768223234
379	0.676756985
380	0.6767330397
381	0.6766926728
382	0.6766479302
383	0.6766157993
384	0.6765983329
385	0.6765490013
386	0.6765175768
387	0.6764889939
388	0.6764560579
389	0.6764377919
390	0.6763912721
391	0.6763557505
392	0.6763378051
393	0.6763231841
394	0.6763089054
395	0.6762486639
396	0.6762161265
397	0.6761945115
398	0.6761619759
399	0.6761321459
400	0.6760895769
401	0.6760708293
402	0.6760449079
403	0.6760161477
404	0.67599181
405	0.6759694939
406	0.6759424127
407	0.675920995
408	0.6758875004
409	0.6758596785
410	0.6758071058
411	0.6757971442
412	0.6757615483
413	0.6757369191
414	0.6757032758
415	0.6756849038
416	0.6756556717
417	0.6756323465
418	0.6756004405
419	0.6755834007
420	0.6755605877
421	0.6755201534
422	0.6754908068
423	0.675462015
424	0.6754389047
425	0.6753985244
426	0.6753844299
427	0.6753567328
428	0.6753167264
429	0.6752856408
430	0.6752639254
431	0.6752338719
432	0.6752178781
433	0.6751940098
434	0.6751776699
435	0.6751355968
436	0.6750920723
437	0.6750721509
438	0.6750500214
439	0.6750039885
440	0.6749760779
441	0.6749527947
442	0.6749351414
443	0.6749082665
444	0.6748896107
445	0.6748524832
446	0.6748113289
447	0.6747737079
448	0.6747413646
449	0.6747164691
450	0.6746753297
451	0.6746511936
452	0.6746231226
453	0.6745968501
454	0.6745794341
455	0.6745454574
456	0.6745042212
457	0.674481414
458	0.6744585106
459	0.6743964687
460	0.6743770833
461	0.6743345366
462	0.6743124435
463	0.6742783145
464	0.6742411725
465	0.6742175068
466	0.6741923543
467	0.6741650244
468	0.6741376952
469	0.674110984
470	0.6740877005
471	0.6740502619
472	0.6740207465
473	0.6739713753
474	0.6739403963
475	0.6739118373
476	0.6738771965
477	0.6738552267
478	0.6738276082
479	0.6738037544
480	0.6737727387
481	0.673734268
482	0.6737081567
483	0.6736743076
484	0.6736614795
485	0.6736293435
486	0.6735749537
487	0.6735433094
488	0.6735136728
489	0.6734628057
490	0.6734228811
491	0.6733888618
492	0.6733707973
493	0.6733374175
494	0.6733022585
495	0.6732675312
496	0.6732301521
497	0.6732018197
498	0.6731822246
499	0.6731580572
