timestamp,open,high,low,close,volume
2025-10-28 23:00:00,113224.08,113224.08,112779.57,112898.45,383.04632
2025-10-29 00:00:00,112898.44,112898.45,112442.87,112442.88,505.29871
2025-10-29 01:00:00,112442.87,112975.75,112100.0,112500.03,916.66416
2025-10-29 02:00:00,112500.03,112780.0,112414.47,112666.75,352.69724
2025-10-29 03:00:00,112666.75,112666.75,112339.77,112523.49,301.5613
2025-10-29 04:00:00,112523.49,112878.65,112505.58,112810.55,311.50456
2025-10-29 05:00:00,112810.56,113379.0,112807.34,113039.1,640.93765
2025-10-29 06:00:00,113039.09,113348.78,112976.93,113284.2,443.58086
2025-10-29 07:00:00,113284.21,113577.9,113240.01,113577.9,640.61019
2025-10-29 08:00:00,113577.9,113624.12,112956.0,113070.94,507.26681
2025-10-29 09:00:00,113070.94,113105.08,112768.63,112974.44,659.57288
2025-10-29 10:00:00,112974.44,113186.58,112732.91,112870.01,425.8713
2025-10-29 11:00:00,112870.0,113240.72,112741.26,113132.36,378.28227
2025-10-29 12:00:00,113132.35,113325.13,113050.01,113139.13,343.38468
2025-10-29 13:00:00,113139.13,113643.73,112705.0,112873.07,1155.92441
2025-10-29 14:00:00,112873.08,112916.0,112234.74,112488.44,1185.34226
2025-10-29 15:00:00,112488.45,112564.31,111401.5,111509.74,1921.74476
2025-10-29 16:00:00,111509.74,111523.32,110960.0,111106.35,1388.36304
2025-10-29 17:00:00,111106.35,111922.44,111002.23,111883.49,811.18965
2025-10-29 18:00:00,111883.5,112030.23,109200.0,110806.38,4372.18973
2025-10-29 19:00:00,110806.38,111438.65,110157.03,110640.0,1170.09639
2025-10-29 20:00:00,110640.0,111538.16,110403.28,111433.46,728.51015
2025-10-29 21:00:00,111433.45,111800.0,111368.02,111617.26,405.07841
2025-10-29 22:00:00,111617.26,111618.46,110949.68,111028.2,447.25113
2025-10-29 23:00:00,111028.2,111077.76,109733.22,110021.29,1066.79122
2025-10-30 00:00:00,110021.3,110583.86,109703.43,110559.48,649.59178
2025-10-30 01:00:00,110559.48,110725.64,110257.77,110460.76,575.63954
2025-10-30 02:00:00,110460.75,111011.99,110331.04,110985.92,488.21463
2025-10-30 03:00:00,110985.93,110985.93,110538.68,110751.47,628.73987
2025-10-30 04:00:00,110751.48,110761.43,107925.06,108575.27,3536.96505
2025-10-30 05:00:00,108575.26,110434.58,108420.0,110248.29,1212.17428
2025-10-30 06:00:00,110248.28,110964.09,109978.01,110768.01,1000.82897
2025-10-30 07:00:00,110768.01,111592.0,110639.25,111366.72,831.79805
2025-10-30 08:00:00,111366.72,111467.01,110681.22,110714.31,1187.21618
2025-10-30 09:00:00,110714.31,110814.0,110125.17,110171.69,659.11121
2025-10-30 10:00:00,110171.68,110231.92,109829.54,110105.75,573.15523
2025-10-30 11:00:00,110105.75,110144.25,109692.3,109717.29,551.05951
2025-10-30 12:00:00,109717.19,109777.93,108280.65,108387.86,1449.48653
2025-10-30 13:00:00,108387.86,108728.54,107400.0,107627.16,2868.53704
2025-10-30 14:00:00,107627.15,108374.21,107610.44,108285.54,1206.17345
2025-10-30 15:00:00,108285.54,108350.44,107328.0,107711.56,1019.91386
2025-10-30 16:00:00,107711.56,108214.85,107559.98,108144.57,667.54851
2025-10-30 17:00:00,108144.58,108150.56,106801.0,107486.69,1492.47982
2025-10-30 18:00:00,107486.69,107556.65,106791.78,106837.09,766.54153
2025-10-30 19:00:00,106837.09,107158.62,106304.34,106536.39,1440.69222
2025-10-30 20:00:00,106536.39,107652.0,106316.17,107510.91,1205.05225
